"id","category","subcategory","title","content","sample_questions","keywords","location","county","plot_size","property_type","status","price","source_url","needs_verification"
"FY-011","CONTACT","OFFICES","Famyard office locations","Famyard Enterprises has two offices. Main office (headquarters): Kanisa Road, Konahauthi Building, 1st Floor, Nyeri Town, Kenya. Second office: Wiyumiririe (Jikaze), along the Nyeri-Nyahururu Highway, opened in 2025. Both offices are staffed so buyers can visit in person, ask questions and follow up.","Where is your office?|Where are you located?|Can I visit your office?|Do you have an office in Jikaze?","office, address, location, kanisa road, konahauthi building, jikaze, wiyumiririe, visit","Nyeri; Wiyumiririe","Nyeri","","","","","https://famyard.co.ke/contact-us/",""
"FY-012","CONTACT","PHONE_EMAIL","How to contact Famyard","Contact Famyard Enterprises: main phone +254 119 222666; phone and WhatsApp +254 721 383 090 (also 0721 383 090, link wa.me/254721383090); email contact@famyard.co.ke; website famyard.co.ke. Buyers can call, WhatsApp, email or use the enquiry form on the website to ask questions, get prices or book a free site visit.","What is your phone number?|How do I contact you?|What is your WhatsApp?|What is your email?","contact, phone, call, whatsapp, email, number, reach","","","","","","","https://famyard.co.ke/contact-us/","contact@famyard.co.ke was decoded from the site's protected email link; older pages show info@famyard.co.ke. Confirm the preferred email and which number to give first."
"FY-013","CONTACT","SOCIAL_MEDIA","Famyard social media channels","Follow Famyard Enterprises for new listings and offers: Facebook facebook.com/famyardenterprises; Instagram @famyardenterprisesltd (instagram.com/famyardenterprisesltd); X/Twitter @famyardent; YouTube @famyardenterprisesltd (drone videos of estates); TikTok (posts tagged #famyardenterprisesltd); WhatsApp wa.me/254721383090. New listings and special financing deals are updated frequently.","Are you on Facebook?|What is your Instagram?|Where can I see videos of the plots?|How do I get updates?","social media, facebook, instagram, twitter, x, youtube, tiktok, updates, new listings","","","","","","","https://famyard.co.ke/",""
"FY-014","SERVICES","LAND_SALES","Buying and selling of land and plots","Famyard Enterprises facilitates secure, fast and transparent buying and selling of land and plots. Every plot is genuine and legally verified. Famyard provides valuations, due diligence and market guidance and walks buyers and sellers through the whole process, whether they want to invest, build or settle. Famyard develops value-added plots ready for immediate residential or commercial use in high-growth areas.","Do you sell land?|Can you help me sell my land?|What services do you offer?","buy land, sell land, plots, valuation, due diligence, services","","","","","","","https://famyard.co.ke/buying-and-selling-plots-and-land-surveying-convenyancing-services/",""
"FY-015","SERVICES","SURVEYING","Land surveying services","Famyard Enterprises has licensed surveyors (led by surveyor Charles Gikonyo) who provide land mapping, boundary identification and verification, subdivision, boundary realignment and title deed processing, all in compliance with local land regulations.","Do you do surveying?|Can you subdivide my land?|I need boundaries confirmed","surveyor, surveying, mapping, boundary, subdivision, beacons, realignment","","","","","","","https://famyard.co.ke/buying-and-selling-plots-and-land-surveying-convenyancing-services/",""
"FY-016","SERVICES","CONVEYANCING","Conveyancing and land transfer services","Famyard Enterprises handles the legal side of transferring property ownership so buyers and sellers complete transactions smoothly. Conveyancing services include land transfer, land searches, Land Control Board consent, succession, and registration of grants. Title deeds and conveyancing are handled by Fridah Muthoni.","Do you handle transfers?|Can you do conveyancing?|Who does the paperwork?","conveyancing, land transfer, title transfer, legal, paperwork, registration","","","","","","","https://famyard.co.ke/buying-and-selling-plots-and-land-surveying-convenyancing-services/",""
"FY-017","SERVICES","LAND_SEARCH","Land searches and Land Control Board approvals","Before any land purchase Famyard Enterprises conducts thorough official land searches to confirm ownership, legitimacy and any encumbrances (charges, cautions or disputes). Famyard also helps obtain Land Control Board (LCB) consent, which is required for agricultural land transactions in Kenya.","Can you do a land search?|What is a Land Control Board?|How do I know the land is clean?","land search, encumbrance, land control board, lcb, consent, verification, ownership","","","","","","","https://famyard.co.ke/buying-and-selling-plots-and-land-surveying-convenyancing-services/",""
"FY-018","SERVICES","SUCCESSION","Succession and inheritance of land","Famyard Enterprises guides families through transferring land after a title holder dies. The team helps navigate the legal succession process, registration of grants, rightful inheritance and smooth title transfer to beneficiaries.","My parent died, how do we transfer the land?|Do you help with succession?","succession, inheritance, deceased, grant, probate, estate, beneficiaries","","","","","","","https://famyard.co.ke/buying-and-selling-plots-and-land-surveying-convenyancing-services/",""
"FY-019","SERVICES","SITE_VISITS","Free site visits","Famyard Enterprises offers FREE site visits to all its estates. The team guides buyers on the ground to assess location, access, amenities and potential. Visits are scheduled at a time convenient to the buyer. Remote consultations and online/virtual site visits (including drone videos) are available for those who cannot travel; diaspora clients can send a trusted representative. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Can I visit the plot?|Is the site visit free?|How do I book a site visit?|Can I view virtually?","site visit, free viewing, book visit, tour, virtual visit, drone video","","","","","","","https://famyard.co.ke/frequently-asked-questions-about-buying-land/",""
"FY-020","BUYING_PROCESS","STEPS","How to buy a plot from Famyard - step by step","Steps to buy land with Famyard Enterprises: 1) Contact Famyard by phone, WhatsApp, email or the website. 2) Choose a plot by location, size and budget using the catalogue and subdivision maps. 3) Due diligence: Famyard shares copies of the title deed and mutation form; you can also do your own official search at the land registry. 4) Free site visit (in person, via a representative, or virtually). 5) Submit documents: ID or passport, KRA PIN and passport photos. 6) Pay per agreed terms (cash, instalments or bank financing) and sign a sale agreement. 7) Famyard handles transfer and registration and delivers the title deed in your name.","How do I buy a plot?|What is the process?|How do I start?|What are the steps?","process, steps, how to buy, purchase, procedure, getting started","","","","","","","https://famyard.co.ke/buy-land-in-kenya-from-abroad-with-famyard-enterprises-ltd/",""
"FY-021","BUYING_PROCESS","DOCUMENTS","Documents needed to buy land","Documents needed to buy a plot through Famyard Enterprises: a copy of your Kenyan National ID or valid passport; KRA PIN certificate (Kenya Revenue Authority); recent passport-size photographs; proof of funds; financing documents if using a bank loan; and, for diaspora buyers, contact details of a trusted nominee/representative in Kenya. Famyard provides a detailed checklist.","What documents do I need?|Do I need a KRA PIN?|What are the requirements?","documents, requirements, id, passport, kra pin, photos, checklist","","","","","","","https://famyard.co.ke/frequently-asked-questions-about-buying-land/",""
"FY-022","BUYING_PROCESS","TITLE_DEEDS","Title deed processing time","Famyard Enterprises sells plots with ready title deeds. Title deeds on its newer estates are processed within about 3 days of completing payment, and the company reports an average 3-day closing time versus a 14-28 day industry norm. Famyard keeps clients updated at each stage and can deliver title deeds to diaspora clients or their appointed representative. Titles are freehold on listed estates.","How long does the title deed take?|Are titles ready?|Is it freehold?|When do I get my title?","title deed, ready title, processing time, 3 days, freehold, ownership","","","","","","","https://famyard.co.ke/plots/chaka-ngatha-estate-plots-50x50/","Some older testimonials mention titles within three months. Confirm the timeline promise for each estate."
"FY-023","BUYING_PROCESS","PRICING","Plot prices and pricing policy","Prices for all Famyard Enterprises plots are given UPON REQUEST and are not published on the website, because they vary by estate, plot size and payment plan. Famyard's pricing is transparent and all-inclusive, covering title deed costs, with water, electricity and roads installed at no extra charge. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","How much is a plot?|What is the price?|How much does 1/8 acre cost?|Is the title fee included?","price, cost, how much, pricing, all-inclusive, title fee, upon request","","","","","","Upon request","https://famyard.co.ke/prime-plots-for-sale-in-nyeri-laikipia-nanyuki/","No prices are published. Add current prices per estate if the bot should quote them."
"FY-024","BUYING_PROCESS","PAYMENT_PLANS","Payment plans and financing options","Famyard Enterprises offers flexible payment plans (instalments) to suit different budgets, as well as bank financing through partner banks including NCBA, Family Bank, Co-operative Bank and DTB. Payment can be cash, instalments or a bank loan. Secure payment methods are available for diaspora buyers. Exact deposit and instalment terms are agreed per plot. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Can I pay in instalments?|Do you offer payment plans?|Can I get a loan?|How much is the deposit?","payment plan, instalments, installments, deposit, financing, loan, bank, flexible payment","","","","","","","https://famyard.co.ke/frequently-asked-questions-about-buying-land/","Older 2023 listings advertised 'pay half the price as deposit'. Confirm current deposit and instalment terms."
"FY-025","BUYING_PROCESS","LEGAL_SAFEGUARDS","Legal safeguards and verifying land is genuine","Famyard Enterprises follows Kenyan property law and works with experienced legal professionals on every transaction. Buyers receive copies of the title deed and mutation form and are encouraged to do their own official search at the land registry to confirm ownership and encumbrances. A written sale agreement sets out the terms. Famyard reports a 0% dispute rate and all its plots are legally verified.","How do I know this is not a scam?|How can I verify the land?|Is the land genuine?|Are you legit?","legit, scam, genuine, verify, legal, safe, fraud, due diligence, sale agreement","","","","","","","https://famyard.co.ke/buy-land-in-kenya-from-abroad-with-famyard-enterprises-ltd/",""
"FY-026","BUYING_PROCESS","VALUE_ADDED_PLOTS","What is a value-added plot","A value-added plot is land that Famyard Enterprises has already improved with essential infrastructure, such as water and electricity connections and graded all-weather roads, so the buyer can start building immediately. This saves the buyer the time and cost of bringing in utilities and increases the investment potential of the land. Amenities are installed free of charge.","What is a value-added plot?|Are water and electricity included?|Can I build immediately?","value added, serviced plot, water, electricity, roads, ready to build, amenities","","","","","","","https://famyard.co.ke/buy-land-in-kenya-from-abroad-with-famyard-enterprises-ltd/",""
"FY-027","BUYING_PROCESS","PLOT_SIZES","Plot sizes explained (1/8, 1/4 acre, 50x100)","Plot sizes at Famyard Enterprises: 50 x 100 ft is an eighth of an acre (1/8 acre), the most common size across Famyard estates. 100 x 100 ft is commonly sold in Kenya as a quarter acre (1/4 acre; technically about 0.23 acre), as at Chaka Ranch Homes and Chaka (near Beakin Resort). 50 x 50 ft is about 1/16 acre, offered at Chaka Lane 15 and Chaka Ngatha estates. Many estates advertise 1/8 and 1/4 acre options.","What size are the plots?|How big is an eighth acre?|Do you have quarter acre plots?|What is 50 by 100?","plot size, 50x100, 100x100, 50x50, eighth acre, quarter acre, 1/8, 1/4, acre","","","","","","","",""
"FY-028","DIASPORA","OVERVIEW","Buying land in Kenya from abroad (diaspora)","Famyard Enterprises has served Kenyans abroad since 2016. Diaspora services include remote consultations, virtual site visits and drone videos, airport pickups for visiting clients, site-visit coordination with a trusted representative, secure payment options, flexible payment plans and tailored financing, regular progress updates, and delivery of title deeds to the client or their appointed representative. Diaspora clients have bought from the UK, USA and elsewhere.","I live abroad, can I buy?|Do you help diaspora?|Can I buy land from the UK/USA?|Do you offer airport pickup?","diaspora, abroad, overseas, remote, uk, usa, airport pickup, international","","","","","","","https://famyard.co.ke/buy-land-in-kenya-from-abroad-with-famyard-enterprises-ltd/",""
"FY-029","DIASPORA","PROCESS","Diaspora buying steps and requirements","Diaspora process at Famyard Enterprises: 1) enquire online or by WhatsApp; 2) choose a plot from the catalogue and subdivision maps; 3) review copies of the title deed and mutation form and optionally do an independent land registry search; 4) have a trusted family member, friend or lawyer visit the site; 5) send a copy of your Kenyan ID or passport, KRA PIN certificate, passport photos and nominee details; 6) pay per agreed terms and sign the sale agreement; 7) Famyard transfers and registers the plot in your name and delivers the title deed.","What do I need as a diaspora buyer?|How do I buy remotely?|Who can visit on my behalf?","diaspora, requirements, nominee, representative, remote purchase, steps","","","","","","","https://famyard.co.ke/buy-land-in-kenya-from-abroad-with-famyard-enterprises-ltd/",""
"FY-030","FAQ","GENERAL","Do you offer site visits?","Q: Do you offer site visits? A: Yes. Famyard offers free, guided site visits to every estate so you can assess location, potential and features. Book by phone, WhatsApp, email or the website at a time that suits you.","Do you offer site visits?","site visit, viewing","","","","","","","https://famyard.co.ke/frequently-asked-questions-about-buying-land/",""
"FY-031","FAQ","GENERAL","How quickly can title deeds be processed?","Q: How quickly can title deeds be processed? A: Famyard's streamlined process gets title deeds ready fast, often within about 3 days on current estates, so you secure your investment without delays.","How quickly can title deeds be processed?","title deed, speed","","","","","","","https://famyard.co.ke/frequently-asked-questions-about-buying-land/",""
"FY-032","FAQ","GENERAL","What types of land do you offer?","Q: What types of land do you offer? A: Residential land, commercial land and gated-community plots in Nyeri, Laikipia, Nanyuki and surrounding towns, suited to the middle class, upscale buyers and the Kenyan diaspora.","What types of land do you offer?","types, residential, commercial, gated","","","","","","","https://famyard.co.ke/frequently-asked-questions-about-buying-land/",""
"FY-033","FAQ","GENERAL","How does Famyard stand out from competitors?","Q: How does Famyard stand out from competitors? A: A 10-year track record, rapid title deed processing, all-inclusive pricing, strong customer service, bank financing options, personalised site visits and property management.","How does Famyard stand out from competitors?","competitors, difference","","","","","","","https://famyard.co.ke/frequently-asked-questions-about-buying-land/",""
"FY-034","FAQ","GENERAL","Can international clients buy land through Famyard?","Q: Can international clients buy land through Famyard? A: Yes. Famyard serves clients worldwide with remote support, tailored financing and step-by-step guidance for international investors.","Can international clients buy land through Famyard?","international, foreign, diaspora","","","","","","","https://famyard.co.ke/frequently-asked-questions-about-buying-land/",""
"FY-035","FAQ","GENERAL","How do I stay updated on new listings and offers?","Q: How do I stay updated on new listings and offers? A: Follow Famyard on Facebook, Instagram, X, YouTube and TikTok, subscribe to the newsletter, or visit famyard.co.ke. Listings and financing deals are updated frequently.","How do I stay updated on new listings and offers?","updates, new listings, offers, newsletter","","","","","","","https://famyard.co.ke/frequently-asked-questions-about-buying-land/",""
"FY-036","FAQ","GENERAL","What does 'Status: Completed' mean on a listing?","Q: What does 'Status: Completed' mean on a listing? A: On Famyard's website 'Completed' means the estate's infrastructure (roads, water, electricity) is done and the plots are ready. It does not mean sold out. Contact Famyard to confirm which plots are still available.","What does 'Status: Completed' mean on a listing?","status, completed, sold out, availability","","","","","","","https://famyard.co.ke/frequently-asked-questions-about-buying-land/",""
"FY-037","FAQ","GENERAL","Is the land good for farming?","Q: Is the land good for farming? A: Many Famyard estates (Naru Moru, Lusoi, Nyaribo, Tetu, Kagundu-ini, Kangaita) have fertile volcanic or red soils suitable for crops such as coffee, tea, bananas, vegetables and horticulture, as well as for building.","Is the land good for farming?","farming, agriculture, soil, crops","","","","","","","https://famyard.co.ke/frequently-asked-questions-about-buying-land/",""
"FY-038","FAQ","GENERAL","Can I build immediately after buying?","Q: Can I build immediately after buying? A: Yes. Famyard plots are value-added, with water, electricity and graded roads in place, so you can start construction once the purchase is complete.","Can I build immediately after buying?","build, construction, develop","","","","","","","https://famyard.co.ke/frequently-asked-questions-about-buying-land/",""
"FY-039","FAQ","GENERAL","Are the estates secure?","Q: Are the estates secure? A: Famyard's gated estates offer controlled access; premium estates like Chaka Ranch Homes have perimeter electric fencing, street lighting, security floodlights, CCTV and guards. Several estates sit near police stations (for example Ngobit).","Are the estates secure?","security, safe, gated, fence, cctv","","","","","","","https://famyard.co.ke/frequently-asked-questions-about-buying-land/",""
"FY-040","LOCATIONS","AREAS_SERVED","All areas where Famyard sells plots","Famyard Enterprises sells plots in: Chaka, Nyeri Town, Gitero, Tetu, Kagundu-ini, Kiawara, Karatina, Mukurweini, Othaya, Mweiga, Kanyagia, Nyaribo, Naru Moru (Naro Moru), Karicheni (Kieni East), Wiyumiririe (Jikaze), Kangaita, Lusoi, Nanyuki, Ngobit (Laikipia East), Nyahururu, Rumuruti and beyond in Nyeri and Laikipia counties. Famyard covers 25+ strategic locations.","Where do you have plots?|Which areas do you cover?|Do you have land in Nanyuki?|Do you sell in Nairobi?","locations, areas, towns, nyeri, laikipia, nanyuki, chaka, karatina, where","","","","","","","https://famyard.co.ke/prime-plots-for-sale-in-nyeri-laikipia-nanyuki/","Mukurweini, Othaya, Nyahururu, Rumuruti and Kiawara are named as locations but have no individual listing page."
"FY-041","LOCATIONS","LISTINGS_INDEX","List of all Famyard estates currently listed","Famyard estates listed on the website (17): Chaka Lane 15 Famyard Estate (50x50, Chaka); Chaka Ngatha Estate (50x50, Chaka); Chaka Ranch Homes (1/4 acre premium, Chaka); Chaka plots near Beakin Resort (100x100); Gitero plots (50x100, 6 km from Nyeri); Karatina / High Ridge Estate (50x100); Kangaita / Kahua Ridge Estate (50x100); Wiyumiririe plots (50x100); Mweiga-Kanyagia plots (50x100); Lusoi Gardens (50x100); Nanyuki Townview Estate (50x100); Naru Moru Gardens Estate (50x100); Nyaribo Airstrip Estate (50x100); Tetu Girls Estate (50x100); Kagundu-ini plots (50x100); Karicheni plots, Kieni (50x100); Ngobit plots, Laikipia East (50x100).","What estates do you have?|Show me all your plots|What is available?","estates, listings, all plots, available, catalogue","","","","","","","https://famyard.co.ke/prime-plots-for-sale-in-nyeri-laikipia-nanyuki/",""
"FY-042","PROPERTY","OVERVIEW","Chaka Lane 15 Famyard Estate","Chaka Lane 15 Famyard Estate is Famyard's newest estate, 50 x 50 ft plots along Chaka Lane in Chaka, Nyeri County, in a controlled gated community. Plots are 300 m from the tarmac road, 3 km from Chaka town centre, and border the new Chaka Bypass, giving strong growth potential. Every plot is fully serviced: 9-metre graded all-weather roads, water and electricity connections installed, ready title deed within 3 days. Ideal for a home, rental or investment. Launched in September 2026 with former ICT Cabinet Secretary Joe Mucheru, who planted trees and handed over title deeds. Plot size: 50 x 50 ft (approx. 1/16 acre). Type: Controlled Gated Community. Price: upon request. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Tell me about Chaka Lane 15 Famyard Estate|Do you have plots in Chaka?|What size are plots in Chaka?","chaka lane 15 famyard estate, chaka, plots for sale, 50 x 50 ft","Chaka","Nyeri","50 x 50 ft (approx. 1/16 acre)","Controlled Gated Community","Ready for sale (new phase launched Sept 2026)","Upon request","https://famyard.co.ke/plots/chaka-lane-15-famyard-estate-50x50-plots/","Page title/meta wrongly show 'Chaka Ranch Homes' text; confirm details are Chaka Lane 15 specific."
"FY-043","PROPERTY","LOCATION_LANDMARKS","Chaka Lane 15 Famyard Estate - location and nearby landmarks","Chaka Lane 15 Famyard Estate (Chaka, Nyeri County) - Nearby in Chaka: Chaka Ranch resort (swimming pool, water park, accommodation, restaurant, quad biking, go-karts); Chaka town shops and services; Chaka Shopping Mall; St. John's Divine Nursing Home on the Kiganjo-Nanyuki highway (24-hour outpatient, inpatient, maternity, surgery, emergency); Chaka Open Air Market; and the Kiganjo-Nanyuki / A2 road corridor linking Nyeri and Nanyuki. Directions: maps.app.goo.gl/YRNhgLhYr47JmFbU6","How far is Chaka Lane 15 Famyard Estate from town?|What is near Chaka plots?|How do I get to Chaka Lane 15 Famyard Estate?","chaka lane 15 famyard estate, chaka, plots for sale, 50 x 50 ft, distance, directions, landmarks, schools, hospital","Chaka","Nyeri","50 x 50 ft (approx. 1/16 acre)","Controlled Gated Community","Ready for sale (new phase launched Sept 2026)","Upon request","https://famyard.co.ke/plots/chaka-lane-15-famyard-estate-50x50-plots/",""
"FY-044","PROPERTY","OVERVIEW","Chaka Ngatha Estate","Chaka Ngatha Estate (also called Chaka Junction) offers 50 x 50 ft plots about 5 km from Chaka town, close to Chaka Ranch, in Nyeri County. Ideal for a family home, holiday retreat, rental property or future development. Water and essential amenities are installed, roads are graded 9 metres wide, and title deeds are ready within 3 days. Plot size: 50 x 50 ft (approx. 1/16 acre). Type: Controlled Gated Community. Price: upon request. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Tell me about Chaka Ngatha Estate|Do you have plots in Chaka?|What size are plots in Chaka?","chaka ngatha estate, chaka, plots for sale, 50 x 50 ft","Chaka","Nyeri","50 x 50 ft (approx. 1/16 acre)","Controlled Gated Community","Ready for sale","Upon request","https://famyard.co.ke/plots/chaka-ngatha-estate-plots-50x50/","Older LinkedIn post described Ngatha Estate plots as 1/8 acre; website now says 50x50. Confirm electricity status (page body mentions water only)."
"FY-045","PROPERTY","LOCATION_LANDMARKS","Chaka Ngatha Estate - location and nearby landmarks","Chaka Ngatha Estate (Chaka, Nyeri County) - Nearby in Chaka: Chaka Ranch resort (swimming pool, water park, accommodation, restaurant, quad biking, go-karts); Chaka town shops and services; Chaka Shopping Mall; St. John's Divine Nursing Home on the Kiganjo-Nanyuki highway (24-hour outpatient, inpatient, maternity, surgery, emergency); Chaka Open Air Market; and the Kiganjo-Nanyuki / A2 road corridor linking Nyeri and Nanyuki.","How far is Chaka Ngatha Estate from town?|What is near Chaka plots?|How do I get to Chaka Ngatha Estate?","chaka ngatha estate, chaka, plots for sale, 50 x 50 ft, distance, directions, landmarks, schools, hospital","Chaka","Nyeri","50 x 50 ft (approx. 1/16 acre)","Controlled Gated Community","Ready for sale","Upon request","https://famyard.co.ke/plots/chaka-ngatha-estate-plots-50x50/",""
